EFFECTIF,POPULATION FRANCAISE,DENSITE /100 000 hab.,code_region,nom_region
8131,12419961,65.46719430117373,11,Ile-de-France
2568,2573295,99.79423268610867,24,Centre-Val-de-Loire
3559,2791719,127.48417731154174,27,Bourgogne et Franche-Comté
4102,3327077,123.2914056392443,28,Normandie
8997,5983823,150.35538317226295,32,Hauts-de-France
7442,5568711,133.6395442320494,44,Grand-Est
3590,3926389,91.43261149111818,52,Pays-de-Loire
5797,3453023,167.88188204943899,53,Bretagne
11007,6154772,178.83684399682068,75,Nouvelle Aquitaine
13007,6154729,211.3334315775723,76,Occitanie
12179,8235923,147.87656465462342,84,Auvergne et Rhône-Alpes
12928,5198011,248.710516387903,93,Provence-Alpes-Côte d'Azur
1238,355528,348.21448662271325,94,Corse
94545,66142961,142.9403803074374,nan,TOTAL FRANCE METROPOLITAINE
1195,378561,315.66907314805275,01,Guadeloupe
1075,349925,307.2086875759091,02,Martinique
307,295385,103.9321563383381,03,Guyane
1935,885700,218.47126566557526,04,Réunion
147,320901,45.80852038479157,06,Mayotte
4659,2230472,208.87955553802064,nan,TOTAL OUTRE-MER
99204,68373433,145.09144216877337,nan,TOTAL France ENTIERE
24,12419961,0.193237321759706,11,Ile-de-France
22,2573295,0.8549350152236723,24,Centre-Val-de-Loire
7,2791719,0.25074156818791576,27,Bourgogne et Franche-Comté
10,3327077,0.3005641288133698,28,Normandie
22,5983823,0.3676579337323313,32,Hauts-de-France
20,5568711,0.3591495410697377,44,Grand-Est
16,3926389,0.40749910413868823,52,Pays-de-Loire
18,3453023,0.5212823662049166,53,Bretagne
20,6154772,0.3249511111053342,75,Nouvelle Aquitaine
45,6154729,0.7311451080949299,76,Occitanie
26,8235923,0.31569017825931595,84,Auvergne et Rhône-Alpes
34,5198011,0.6540963456983835,93,Provence-Alpes-Côte d'Azur
1,355528,0.2812717985643887,94,Corse
265,66142961,0.4006473190699763,nan,TOTAL FRANCE METROPOLITAINE
1,378561,0.2641582202075755,01,Guadeloupe
1,349925,0.2857755233264271,02,Martinique
0,295385,0.0,03,Guyane
0,885700,0.0,04,Réunion
1,320901,0.31162258765164336,06,Mayotte
3,2230472,0.13450067967676796,nan,TOTAL OUTRE-MER
268,68373433,0.3919651072661512,nan,TOTAL France ENTIERE
