annee,code,actes,taux_urgences,taux_hospit,taux_sos,annee_predite,doses,predictiondoses,region
2024,24,3741,609.8756020388174,386.0825566014259,4234.04245837209,2025,5880,6219.33958739473,centre_val_de_loire
2024,24,347,609.8756020388174,386.0825566014259,4234.04245837209,2025,543,171.56627854774706,centre_val_de_loire
2024,27,3109,875.7927266106234,707.8132409055612,4641.513376573008,2025,5490,5488.0666785168,bourgogne_et_franche_comte
2024,27,277,875.7927266106234,707.8132409055612,4641.513376573008,2025,503,441.72194939048495,bourgogne_et_franche_comte
2024,28,3882,929.892410819049,713.6571710746788,5477.873527702363,2025,5908,6403.135283047799,normandie
2024,28,396,929.892410819049,713.6571710746788,5477.873527702363,2025,610,191.42704655986745,normandie
2024,32,2998,1006.4887319423968,839.9611852389623,4205.749579074037,2025,5789,5602.626912838081,hauts_de_france
2024,32,316,1006.4887319423968,839.9611852389623,4205.749579074037,2025,590,823.5673918223474,hauts_de_france
2024,44,3246,996.1658518514248,962.0234717973084,4852.991575620005,2025,5429,5582.627116611111,grand_est
2024,44,304,996.1658518514248,962.0234717973084,4852.991575620005,2025,514,340.2732348705176,grand_est
2024,52,3624,665.7640605699117,648.6796448916945,4234.04245837209,2025,5824,6161.303075400996,pays_de_la_loire
2024,52,342,665.7640605699117,648.6796448916945,4234.04245837209,2025,543,313.1027219432872,pays_de_la_loire
2024,53,3747,775.2725124226564,686.2393354721148,4234.04245837209,2025,6097,6419.3256661902415,bretagne
2024,53,390,775.2725124226564,686.2393354721148,4234.04245837209,2025,627,437.48270867730025,bretagne
2024,75,3367,791.5845315363329,688.6480385055328,4668.162837578858,2025,5803,5836.494523114525,nouvelle_aquitaine
2024,75,319,791.5845315363329,688.6480385055328,4668.162837578858,2025,554,405.2590943091782,nouvelle_aquitaine
2024,76,3400,666.7435165707076,704.8954231605061,4234.04245837209,2025,5630,5866.348890747875,occitanie
2024,76,299,666.7435165707076,704.8954231605061,4234.04245837209,2025,492,340.67268841003533,occitanie
2024,84,3116,819.4954741391142,823.0097881946789,4442.718286911195,2025,5461,5448.724542920128,auvergne_et_rhone_alpes
2024,84,274,819.4954741391142,823.0097881946789,4442.718286911195,2025,491,384.5607999198837,auvergne_et_rhone_alpes
2024,94,1539,1055.4085809319192,843.4642135952454,3615.578264306377,2025,4468,3636.9088287184713,corse
2024,94,138,1055.4085809319192,843.4642135952454,3615.578264306377,2025,409,1140.464984966442,corse
